VALOR,VIGENCIADESDE,VIGENCIAHASTA
2828.20,07/06/2003,09/06/2003
2818.50,10/06/2003,10/06/2003
2809.63,11/06/2003,11/06/2003
2821.27,12/06/2003,12/06/2003
2832.20,13/06/2003,13/06/2003
2821.61,14/06/2003,16/06/2003
2818.62,17/06/2003,17/06/2003
2828.96,18/06/2003,18/06/2003
2829.42,19/06/2003,19/06/2003
2827.40,20/06/2003,20/06/2003
2826.36,21/06/2003,24/06/2003
2815.26,25/06/2003,25/06/2003
2806.96,26/06/2003,26/06/2003
2812.28,27/06/2003,27/06/2003
2817.32,28/06/2003,01/07/2003
2817.63,02/07/2003,02/07/2003
2812.40,03/07/2003,03/07/2003
2815.14,04/07/2003,07/07/2003
2820.85,08/07/2003,08/07/2003
2838.88,09/07/2003,09/07/2003
2846.89,10/07/2003,10/07/2003
2855.41,11/07/2003,11/07/2003
2856.96,12/07/2003,14/07/2003
2871.88,15/07/2003,15/07/2003
2879.37,16/07/2003,16/07/2003
2888.57,17/07/2003,17/07/2003
2883.90,18/07/2003,18/07/2003
2880.69,19/07/2003,21/07/2003
2878.33,22/07/2003,22/07/2003
2878.56,23/07/2003,23/07/2003
2882.70,24/07/2003,24/07/2003
2887.31,25/07/2003,25/07/2003
2888.32,26/07/2003,28/07/2003
2883.15,29/07/2003,29/07/2003
2873.17,30/07/2003,30/07/2003
2880.40,31/07/2003,31/07/2003
2879.60,01/08/2003,01/08/2003
2886.87,02/08/2003,04/08/2003
2894.58,05/08/2003,05/08/2003
2901.09,06/08/2003,06/08/2003
2887.05,07/08/2003,08/08/2003
2875.18,09/08/2003,11/08/2003
2873.51,12/08/2003,12/08/2003
2868.50,13/08/2003,13/08/2003
2870.67,14/08/2003,14/08/2003
2864.81,15/08/2003,15/08/2003
2861.34,16/08/2003,19/08/2003
2869.29,20/08/2003,20/08/2003
2861.63,21/08/2003,21/08/2003
2853.56,22/08/2003,22/08/2003
2841.25,23/08/2003,25/08/2003
2843.66,26/08/2003,26/08/2003
2848.86,27/08/2003,27/08/2003
2850.89,28/08/2003,28/08/2003
2846.26,29/08/2003,29/08/2003
2832.94,30/08/2003,02/09/2003
2841.02,03/09/2003,03/09/2003
2826.46,04/09/2003,04/09/2003
2816.74,05/09/2003,05/09/2003
2820.46,06/09/2003,08/09/2003
2822.85,09/09/2003,09/09/2003
2820.20,10/09/2003,10/09/2003
2825.28,11/09/2003,11/09/2003
2829.82,12/09/2003,12/09/2003
2824.88,13/09/2003,15/09/2003
2824.53,16/09/2003,16/09/2003
2823.79,17/09/2003,17/09/2003
2823.28,18/09/2003,18/09/2003
2833.64,19/09/2003,19/09/2003
2844.64,20/09/2003,22/09/2003
2859.37,23/09/2003,23/09/2003
2866.42,24/09/2003,24/09/2003
2872.30,25/09/2003,25/09/2003
2871.39,26/09/2003,26/09/2003
2879.32,27/09/2003,29/09/2003
2889.39,30/09/2003,30/09/2003
2888.21,01/10/2003,01/10/2003
2907.41,02/10/2003,02/10/2003
2868.91,08/10/2003,08/10/2003
2887.59,09/10/2003,09/10/2003
1793.47,12/08/2011,12/08/2011
1783.35,13/08/2011,16/08/2011
1776.66,17/08/2011,17/08/2011
1767.29,18/08/2011,18/08/2011
1775.84,19/08/2011,19/08/2011
1779.05,20/08/2011,22/08/2011
1779.86,23/08/2011,23/08/2011
1781.91,24/08/2011,24/08/2011
1791.61,25/08/2011,25/08/2011
1791.05,26/08/2011,26/08/2011
1794.02,27/08/2011,29/08/2011
1787.52,30/08/2011,30/08/2011
1783.66,31/08/2011,31/08/2011
1780.26,01/09/2011,01/09/2011
1778.51,02/09/2011,02/09/2011
1782.80,03/09/2011,06/09/2011
1791.89,07/09/2011,07/09/2011
1789.30,08/09/2011,08/09/2011
1789.90,09/09/2011,09/09/2011
1796.58,10/09/2011,12/09/2011
1811.34,13/09/2011,13/09/2011
1813.42,14/09/2011,14/09/2011
1824.15,15/09/2011,15/09/2011
1822.04,16/09/2011,16/09/2011
1820.29,17/09/2011,19/09/2011
1843.26,20/09/2011,20/09/2011
1854.96,21/09/2011,21/09/2011
1882.23,22/09/2011,22/09/2011
1915.63,23/09/2011,23/09/2011
1902.45,24/09/2011,26/09/2011
1903.31,27/09/2011,27/09/2011
1887.38,28/09/2011,28/09/2011
1907.75,29/09/2011,29/09/2011
1915.10,30/09/2011,30/09/2011
1929.01,01/10/2011,03/10/2011
1943.80,04/10/2011,04/10/2011
1972.76,05/10/2011,05/10/2011
1967.56,06/10/2011,06/10/2011
1952.09,07/10/2011,07/10/2011
1931.64,08/10/2011,11/10/2011
1913.60,12/10/2011,12/10/2011
1896.72,13/10/2011,13/10/2011
1909.12,14/10/2011,14/10/2011
1895.33,15/10/2011,18/10/2011
1902.47,19/10/2011,19/10/2011
1900.10,20/10/2011,20/10/2011
1905.95,21/10/2011,21/10/2011
1897.45,22/10/2011,24/10/2011
1878.78,25/10/2011,25/10/2011
1875.55,26/10/2011,26/10/2011
1878.10,27/10/2011,27/10/2011
1862.84,28/10/2011,28/10/2011
1863.06,29/10/2011,31/10/2011
1871.49,01/11/2011,01/11/2011
1891.38,02/11/2011,02/11/2011
1889.66,03/11/2011,03/11/2011
1905.38,04/11/2011,04/11/2011
1786.77,13/10/2010,13/10/2010
1791.56,14/10/2010,14/10/2010
1801.20,15/10/2010,15/10/2010
1807.88,16/10/2010,19/10/2010
1817.45,20/10/2010,20/10/2010
1812.60,21/10/2010,21/10/2010
1816.28,22/10/2010,22/10/2010
1823.05,23/10/2010,25/10/2010
1830.96,26/10/2010,26/10/2010
1838.45,27/10/2010,27/10/2010
1846.41,28/10/2010,28/10/2010
1839.90,29/10/2010,29/10/2010
1831.64,30/10/2010,02/11/2010
1845.51,03/11/2010,03/11/2010
1840.51,04/11/2010,04/11/2010
1821.05,05/11/2010,05/11/2010
1817.70,06/11/2010,08/11/2010
1828.28,09/11/2010,09/11/2010
1836.27,10/11/2010,10/11/2010
1858.01,11/11/2010,12/11/2010
1861.74,13/11/2010,16/11/2010
1880.98,17/11/2010,17/11/2010
1875.78,18/11/2010,18/11/2010
1865.82,19/11/2010,19/11/2010
1875.39,20/11/2010,22/11/2010
1882.00,23/11/2010,23/11/2010
1892.84,24/11/2010,24/11/2010
1889.11,25/11/2010,26/11/2010
1906.69,27/11/2010,29/11/2010
1916.96,30/11/2010,30/11/2010
1932.63,01/12/2010,01/12/2010
1933.58,02/12/2010,02/12/2010
1920.00,03/12/2010,03/12/2010
1896.73,04/12/2010,06/12/2010
1889.75,07/12/2010,07/12/2010
1880.82,08/12/2010,09/12/2010
1902.72,10/12/2010,10/12/2010
1911.87,11/12/2010,13/12/2010
1894.12,14/12/2010,14/12/2010
1899.89,15/12/2010,15/12/2010
1905.84,16/12/2010,16/12/2010
1916.09,17/12/2010,17/12/2010
1923.13,18/12/2010,20/12/2010
1928.71,21/12/2010,21/12/2010
1934.96,22/12/2010,22/12/2010
1934.44,23/12/2010,23/12/2010
1928.33,24/12/2010,24/12/2010
1939.54,25/12/2010,27/12/2010
1964.57,28/12/2010,28/12/2010
2027.33,29/12/2010,29/12/2010
1989.88,30/12/2010,30/12/2010
1913.98,31/12/2010,03/01/2011
1902.71,04/01/2011,04/01/2011
1899.86,05/01/2011,05/01/2011
1894.82,06/01/2011,06/01/2011
1869.94,07/01/2011,07/01/2011
1859.97,08/01/2011,11/01/2011
1856.79,12/01/2011,12/01/2011
1855.46,13/01/2011,13/01/2011
1864.36,14/01/2011,14/01/2011
1872.46,15/01/2011,18/01/2011
1864.64,19/01/2011,19/01/2011
1841.90,20/01/2011,20/01/2011
1849.59,21/01/2011,21/01/2011
1838.94,22/01/2011,24/01/2011
1842.43,25/01/2011,25/01/2011
1853.71,26/01/2011,26/01/2011
2261.12,18/04/2002,18/04/2002
2256.66,19/04/2002,19/04/2002
2260.90,20/04/2002,22/04/2002
2259.88,23/04/2002,23/04/2002
2263.68,24/04/2002,24/04/2002
2265.70,25/04/2002,25/04/2002
2267.40,26/04/2002,26/04/2002
2270.92,27/04/2002,29/04/2002
2275.35,30/04/2002,30/04/2002
2275.43,01/05/2002,02/05/2002
2279.56,03/05/2002,03/05/2002
2286.39,04/05/2002,06/05/2002
2285.64,07/05/2002,07/05/2002
2286.60,08/05/2002,08/05/2002
2284.93,09/05/2002,09/05/2002
2289.17,10/05/2002,10/05/2002
2292.00,11/05/2002,14/05/2002
2293.00,15/05/2002,15/05/2002
2300.02,16/05/2002,16/05/2002
2314.21,17/05/2002,17/05/2002
2332.68,18/05/2002,20/05/2002
2350.20,21/05/2002,21/05/2002
2363.28,22/05/2002,22/05/2002
2349.80,23/05/2002,23/05/2002
2338.55,24/05/2002,24/05/2002
2331.07,25/05/2002,27/05/2002
2309.85,28/05/2002,28/05/2002
2314.30,29/05/2002,29/05/2002
2317.12,30/05/2002,30/05/2002
2321.16,31/05/2002,31/05/2002
2321.68,01/06/2002,04/06/2002
2324.54,05/06/2002,05/06/2002
2331.69,06/06/2002,06/06/2002
2335.30,07/06/2002,07/06/2002
2336.11,08/06/2002,11/06/2002
2340.36,12/06/2002,12/06/2002
2347.68,13/06/2002,13/06/2002
2357.14,14/06/2002,14/06/2002
2369.12,15/06/2002,17/06/2002
2379.92,18/06/2002,18/06/2002
2383.31,19/06/2002,19/06/2002
2393.87,20/06/2002,20/06/2002
2391.65,21/06/2002,21/06/2002
2384.22,22/06/2002,24/06/2002
2383.41,25/06/2002,25/06/2002
2386.18,26/06/2002,26/06/2002
2392.13,27/06/2002,27/06/2002
2398.14,28/06/2002,28/06/2002
2398.82,29/06/2002,02/07/2002
2410.54,03/07/2002,03/07/2002
2425.42,04/07/2002,04/07/2002
2426.40,05/07/2002,05/07/2002
2434.32,06/07/2002,08/07/2002
2457.39,09/07/2002,09/07/2002
2462.18,10/07/2002,10/07/2002
2482.21,11/07/2002,11/07/2002
2506.84,12/07/2002,12/07/2002
2513.99,13/07/2002,15/07/2002
2507.21,16/07/2002,16/07/2002
2499.92,17/07/2002,17/07/2002
